,node_1,node_2,link
2418,1447,566,1
4104,2229,344,1
1114,747,202,1
2739,1543,1324,1
1408,960,378,1
1295,862,638,1
2652,1522,569,1
1422,966,964,1
1977,1268,788,1
1661,1121,643,1
2800,1564,687,1
1585,1069,422,1
667,567,21,1
634,565,295,1
86,210,148,1
2175,1335,1270,1
89,214,157,1
3647,1985,1231,1
252,378,227,1
3636,1978,1713,1
3724,2037,1584,1
4364,2354,400,1
3594,1943,163,1
964,688,552,1
2485,1468,638,1
283,402,163,1
1270,823,427,1
536,538,402,1
430,479,478,1
2100,1312,1260,1
926,672,591,1
1400,946,427,1
322,427,312,1
45,160,125,1
1427,967,306,1
337,430,223,1
145,274,204,1
2179,1337,1335,1
1483,1004,1003,1
3151,1687,1228,1
1377,929,71,1
1090,745,561,1
1738,1155,785,1
586,552,483,1
4228,2299,1854,1
1418,965,964,1
1737,1155,783,1
742,598,158,1
2272,1375,560,1
1637,1110,163,1
4022,2197,430,1
509,523,163,1
345,432,428,1
577,552,370,1
1693,1133,719,1
1070,741,204,1
1807,1200,570,1
3509,1893,102,1
3143,1687,54,1
3028,1643,1189,1
392,465,85,1
603,560,78,1
1761,1174,1102,1
305,420,193,1
60,181,157,1
72,189,188,1
1452,982,163,1
1429,967,689,1
4527,2422,359,1
3401,1813,503,1
1616,1093,122,1
2672,1526,839,1
1634,1105,1026,1
721,588,566,1
4204,2290,585,1
3548,1911,1719,1
3743,2050,611,1
1074,743,163,1
1001,708,250,1
1225,772,742,1
854,640,549,1
4842,2541,686,1
4414,2374,916,1
1892,1238,1025,1
446,489,238,1
2911,1600,411,1
865,643,583,1
384,460,148,1
199,331,101,1
4504,2414,2239,1
3037,1644,1290,1
4216,2294,66,1
1681,1127,793,1
3562,1923,71,1
2330,1407,783,1
290,410,82,1
2341,1412,1111,1
1091,745,600,1
2030,1286,163,1
2698,1532,558,1
1854,1218,833,1
2801,1564,745,1
2093,1311,764,1
3967,2175,1719,1
218,345,117,1
3938,2166,772,1
1026,719,611,1
1833,1210,883,1
4131,2250,1696,1
267,391,142,1
1565,1061,378,1
3233,1713,468,1
201,332,62,1
2110,1318,227,1
1347,904,352,1
1671,1124,453,1
560,552,2,1
2559,1498,163,1
1443,976,905,1
4004,2190,2189,1
5207,2680,101,1
1541,1043,1042,1
2148,1328,1109,1
1802,1197,1053,1
2211,1348,612,1
3234,1713,889,1
4517,2421,74,1
1036,727,163,1
1123,747,283,1
4088,2225,256,1
2105,1315,1079,1
2251,1364,1004,1
3625,1968,1774,1
355,438,21,1
1107,747,124,1
4135,2251,163,1
1099,747,72,1
59,181,76,1
3394,1811,427,1
1641,1111,1101,1
2101,1312,1269,1
1870,1231,854,1
2782,1557,691,1
1550,1052,832,1
2187,1340,157,1
3353,1782,565,1
4320,2335,74,1
194,326,278,1
3787,2077,744,1
1337,892,889,1
2602,1508,668,1
2480,1466,943,1
3796,2082,1793,1
1358,910,764,1
512,523,283,1
1361,911,177,1
1164,747,724,1
1593,1074,109,1
534,538,15,1
4755,2506,2366,1
1035,726,576,1
1736,1154,819,1
1069,740,560,1
1536,1038,157,1
3145,1687,523,1
1073,743,65,1
4945,2578,99,1
1488,1006,876,1
1495,1012,295,1
908,665,427,1
4162,2270,480,1
2026,1285,405,1
1421,966,910,1
1023,719,87,1
4299,2329,1428,1
1087,745,386,1
1622,1098,163,1
1866,1225,1117,1
2495,1471,447,1
2289,1380,793,1
230,352,41,1
3577,1933,36,1
1775,1182,1010,1
2594,1506,1308,1
2083,1305,1098,1
1856,1219,163,1
1743,1157,745,1
3483,1877,251,1
2828,1571,163,1
1407,959,793,1
4106,2230,157,1
2368,1424,1218,1
3470,1863,1862,1
4430,2380,485,1
358,438,227,1
1269,823,227,1
1139,747,502,1
3120,1678,378,1
844,638,521,1
2940,1608,1512,1
1261,814,809,1
192,324,278,1
1502,1016,727,1
2423,1451,1272,1
718,587,427,1
1615,1092,569,1
805,632,401,1
518,524,520,1
228,350,201,1
2044,1289,157,1
4501,2414,668,1
1327,882,575,1
504,520,478,1
1415,964,910,1
3442,1842,1268,1
596,557,423,1
3076,1661,109,1
4405,2368,465,1
1472,999,70,1
2010,1281,1272,1
547,544,258,1
1391,938,611,1
3851,2114,1923,1
2268,1373,565,1
110,243,53,1
1357,910,565,1
3658,1993,276,1
3737,2044,427,1
789,621,552,1
1079,745,36,1
155,288,75,1
251,378,218,1
652,566,16,1
3237,1715,163,1
2533,1486,1008,1
3650,1986,1329,1
473,503,174,1
3995,2183,2150,1
2581,1503,1108,1
3970,2175,2087,1
597,558,376,1
4935,2575,1910,1
1727,1153,163,1
3915,2153,2025,1
1532,1036,538,1
3618,1964,1862,1
716,587,88,1
204,334,20,1
2714,1534,1498,1
2374,1429,675,1
1528,1032,847,1
622,565,60,1
2613,1512,1235,1
2262,1370,136,1
687,575,552,1
1969,1261,1117,1
448,490,5,1
1316,875,554,1
890,657,656,1
1068,740,418,1
3410,1816,558,1
233,357,243,1
1366,916,157,1
297,416,138,1
3420,1824,1595,1
573,552,305,1
2277,1377,313,1
1259,812,809,1
3703,2026,576,1
4309,2333,2135,1
2837,1573,910,1
1511,1019,926,1
1620,1095,798,1
2490,1469,1364,1
3732,2040,1924,1
1522,1027,378,1
2847,1576,1266,1
122,251,88,1
2551,1495,995,1
1188,757,219,1
797,624,572,1
1105,747,112,1
1946,1254,1062,1
2715,1535,289,1
275,395,163,1
281,400,14,1
1162,747,703,1
2018,1283,427,1
129,258,0,1
67,188,141,1
1876,1232,1178,1
538,539,183,1
1835,1212,580,1
5254,2698,2697,1
2919,1602,971,1
699,577,389,1
395,465,294,1
2342,1412,1328,1
3801,2085,1094,1
849,640,109,1
1666,1122,717,1
3892,2146,638,1
1863,1224,145,1
3689,2017,1582,1
253,378,286,1
2511,1479,136,1
4220,2295,427,1
3051,1649,1557,1
499,519,280,1
4472,2403,649,1
649,565,548,1
3437,1838,485,1
259,383,87,1
788,621,471,1
1705,1139,163,1
3999,2188,2149,1
919,671,566,1
1076,744,163,1
506,521,344,1
1725,1150,912,1
3841,2107,613,1
3633,1975,427,1
540,540,523,1
3408,1815,253,1
2481,1466,1016,1
2370,1425,684,1
3957,2173,846,1
1490,1007,837,1
3305,1737,380,1
1244,791,786,1
617,564,294,1
1254,803,357,1
2252,1364,1343,1
2009,1281,948,1
3683,2014,562,1
2215,1351,900,1
1918,1244,344,1
1772,1180,1177,1
311,426,303,1
113,248,105,1
302,419,398,1
3421,1825,68,1
3378,1797,1221,1
542,541,454,1
774,613,14,1
3953,2172,136,1
571,552,277,1
3977,2178,1795,1
3322,1747,1324,1
3468,1863,1595,1
1367,916,427,1
3545,1911,290,1
2824,1570,1109,1
553,549,453,1
2689,1530,145,1
3962,2175,163,1
2004,1278,289,1
1868,1230,995,1
2863,1582,1086,1
2419,1449,453,1
1721,1148,30,1
3085,1664,1559,1
2637,1520,839,1
1967,1261,247,1
720,588,294,1
1980,1269,418,1
1734,1153,1113,1
1338,896,468,1
1183,755,188,1
43,157,78,1
2283,1378,565,1
2783,1558,163,1
2003,1277,163,1
1885,1234,1226,1
3656,1991,1716,1
521,529,340,1
2571,1500,1238,1
83,204,202,1
1469,996,161,1
1954,1257,380,1
1720,1147,772,1
728,591,453,1
3733,2040,2004,1
1685,1129,809,1
288,406,311,1
483,511,74,1
508,523,54,1
127,255,70,1
576,552,367,1
2280,1378,173,1
2503,1474,1249,1
186,322,15,1
2326,1404,219,1
1354,909,827,1
303,420,10,1
2977,1622,1322,1
1794,1191,1053,1
2760,1550,1199,1
3363,1790,415,1
1196,759,161,1
4136,2252,2220,1
3869,2126,426,1
2975,1622,344,1
766,611,368,1
1387,934,860,1
3334,1763,611,1
3546,1911,860,1
3717,2034,453,1
3563,1924,345,1
1285,846,219,1
3413,1818,1813,1
3333,1763,407,1
3432,1832,1831,1
2347,1414,1268,1
1766,1178,854,1
3276,1728,129,1
633,565,294,1
1527,1032,591,1
1623,1098,343,1
4287,2325,611,1
778,615,98,1
4735,2499,2376,1
3452,1855,75,1
2164,1333,1224,1
117,250,76,1
381,459,109,1
1972,1264,1134,1
4727,2499,1068,1
801,629,612,1
567,552,173,1
1519,1025,1006,1
313,426,335,1
3895,2146,1897,1
2322,1401,951,1
3934,2165,538,1
1891,1238,378,1
3443,1842,1757,1
207,337,143,1
393,465,103,1
1040,729,467,1
3561,1922,576,1
637,565,333,1
936,680,74,1
889,656,650,1
1078,745,18,1
5228,2688,1784,1
1498,1014,576,1
2578,1502,772,1
348,433,428,1
162,294,128,1
3669,2000,467,1
3384,1801,576,1
3494,1886,1884,1
3238,1715,793,1
2887,1592,1293,1
3883,2138,1718,1
3450,1852,99,1
2079,1305,163,1
818,635,208,1
2253,1364,1363,1
1677,1126,583,1
2397,1438,294,1
604,560,157,1
2502,1474,380,1
1822,1205,793,1
298,417,317,1
1521,1027,322,1
595,556,555,1
4139,2255,427,1
1506,1017,74,1
2367,1423,1328,1
1896,1240,841,1
420,478,227,1
850,640,130,1
1126,747,328,1
42,155,117,1
840,638,375,1
4155,2262,2236,1
2595,1506,1415,1
156,289,64,1
4181,2277,1931,1
2159,1333,163,1
2680,1527,971,1
1018,717,163,1
3804,2087,1257,1
2176,1336,1027,1
1479,1003,791,1
178,305,82,1
555,549,488,1
771,611,601,1
1280,842,565,1
1692,1131,966,1
1296,862,785,1
4208,2291,378,1
1674,1125,818,1
403,468,182,1
4677,2480,565,1
663,566,472,1
1907,1241,84,1
3330,1757,1268,1
170,295,197,1
1595,1078,1076,1
1332,889,41,1
3978,2178,2082,1
1961,1259,893,1
429,479,449,1
